text,rating,time,user_id,gmap_id,category,description,avg_rating,num_of_reviews,violation_type
Great food.... and customer service is A+,5,1495245139184,101845303640982410214,0x80db512222e6feff:0x2c42561d7e32661e,"['Hamburger restaurant', 'Fast food restaurant']","No-nonsense counter serve offering ample burger meals & global eats, including gyros & Mexican fare.",4.5,853,4
"(Translated by Google) It's My favorite cafe

(Original)
Es Mi cafe preferido",5,1550295225181,105008285738234907785,0x80c2c0ad5453272b:0xf33d139c85c0648d,"['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar']","Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",4.2,328,4
"(Translated by Google) It took me so long to get this place answered! Waiting for hours, and the person turned around so much that he would give me my appointment to renew my documents and finally he gave me
My appointment for March 1, 2018, and then he asked me to give him a moment, to confirm my appointment for 20 minutes online and come back again ... but
just to tell me that
'Better call me again ,. that she can't make an appointment!
, .it is hardly going to say it!
(Sorry?
Or for what reason and when (plap)
I was hung up on the uneducated ingress, what the hell is that person sitting at my Mexican consulate doing if they do not have the skills and preparation to do this type of work? 😡😠

(Original)
me costó tanto para que me contestaran este lugar! Esperando horas,.. y tanta vuelta dio la persona para que me diera mi cita para renovacion de mis documentos y al fin me dio
Mi cita para  01 de marzo 2018.y luego me pidio que le diera un momento,.para confirmarme mi cita por 20 minutos en  linea y regresa de nuevo..pero
solo para decirme que
'Mejor lláme de nuevo,. que ella no puedo hacer cita!
,.apenas le iva adecir!
(Perdon?
O por que razón y cuando( plap)
Me colgó la ingreida sin educacion😠que rayos hace esa persona sentada en mi consulado mexicano  si no tiene la capacida y preparación  de hacer este tipo de trabajo?😡😠",1,1519495062252,102870470656544929078,0x80c2c7751a8839d1:0xb80941d4a519b463,['Foreign consulate'],,2.9,1428,4
Hated the parking you lose a ticket it full price never going back.,3,1525523635559,102790732660948115618,0x80c2b94cbad39203:0x7b0c4c67d03ab9dc,['Shopping mall'],"Large & bustling shopping center with brand-name apparel stores, eateries & service providers.",4.4,3459,4
The breakfast combo burrito was great.  Kept me full all day,5,1606360556261,116614640958667009610,0x80c328592604369b:0x6c4553f41afb5472,"['Hamburger restaurant', 'Fast food restaurant']",,4.4,287,4
Great experience. Very attentive staff,5,1530068399482,113578075352855949749,0x80dcb399b98a460f:0x2d87d57709f1273,"['Diner', 'American restaurant', 'Breakfast restaurant']","Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.",4.0,1129,4
"I always love B B & B.  This store doesn't compare to the well-stocked Westlake location, however.  Worth the extra drive.",4,1496962865477,104338107802401915309,0x80e829a842fb9c19:0xe7cd783eb0ef1425,"['Department store', 'Appliance store', 'Bathroom supply store', 'Bedding store', 'Cutlery store', 'Gift shop', 'Glassware store', 'Home goods store', 'Linens store', 'Wedding store']","Chain with a varied selection of home goods, including bedding, kitchenware, towels & decor items.",4.2,308,4
Had a blast,5,1566175559864,104670055408428320029,0x80c350caf420610d:0x951f139f0a4c8b34,"['Park', 'Swimming lake', 'Tourist attraction', 'Water park']","Park's 84 acres are dominated by Lake Gregory, which is surrounded by trails, picnics & pines.",4.3,2517,4
"I have just purchased and eaten a sandwich from this wonder place. The ingredients are fresh, the bread is crunchy outside and soft inside: perfect. The chicken is well seasoned and the sauce used is delicious. All the veggies and crunchy and tasty.

Service is fast and the two people at the established very nice. The presentation is simple but really cute. I’ll be back hungry for more!",5,1607376322389,103346651663028684534,0x808f9e70752e2c47:0xacf4d75294fa14e7,"['Restaurant', 'Sandwich shop', 'Vietnamese restaurant']",,4.6,18,4
"Great experience with awesome staff. So good to see Ms Kimberly, Cheers",5,1553059106462,110301273328441796975,0x80c2be249c29ec8d:0xe994903ecc03c3eb,['Nail salon'],,4.4,17,4
