text,rating,time,user_id,gmap_id,category,description,avg_rating,num_of_reviews,policy_violation_label
Great food and great service,4,1493607851356,111593071456744581147,0x80deaae21e5c9823:0x7f123bfb7930a999,"['Lounge', 'Grill', 'Bar', 'Restaurant']","Longtime tavern features drinks & classic pub grub in a roomy venue with pool, sports TVs & a patio.",4.6,375,No Violation
Great customer service love marina,5,1560245930447,100043355799231043993,0x80eccd9b445c938d:0x73cf192836fb5647,"['Dollar store', 'Beauty supply store', 'Discount store', 'Grocery store', 'Party store', 'Pet supply store']","Bargain retail chain selling a range of household goods, groceries, beauty products & more.",4.3,238,Advertisement
"A lifesaver! OK, OK... Maybe a slight exaggeration, but if I'm going to be on lock down for 3 weeks I need comfort food to get me through it. The Gelato places near me were either closed (which I actually do get) or in the case of one shortened their hours (again is fine) but closed even earlier for no reason. I was having a serious craving by that point so on the hunt for good Gelato I went. I called ahead and the nice woman assured me she was open until 9. I pulled up a little after 8 and was greeted by a super sweet woman. Under the restrictions of everything she was complying with keeping distance and keeping everything sanitized. I was so happy to walk out with 2 pints of wonderfully delicious Gelato (in some of the most unique flavors I've had), at a much better price than everyone else, and while all of this uncertainty goes on around me. I can now happily self-quarantine for 3 weeks with some Tiramisu, Birthday Cake, Bavarian Mint, and Coppa Mista by my side. A faithful customer for life!",5,1584590983627,108488293072821066097,0x808fbf5943fb76e7:0x2e356a90265fbc9,['Ice cream shop'],,4.6,174,No Violation
"My gosh was dry,over cooked and the black eyed peas was pretty salty. No good for my first visit. Don't know if I would go back.",2,1610328581114,110310800010092751316,0x80c2b5f053b93d77:0x6f20180094ed4b5e,['Soul food restaurant'],,4.1,676,No Violation
"Ice cream you think could purchase at your local supermarket, but fancied up at Disneyland.  There are a bunch of different flavors that could get paired with regular cones, fancy cones, and waffle cones.

Out of the four specialty sundaes, I chose the Firehouse Dalmatian Mint Sundae. I can't pass up on mint chocolate chip ice cream!  It comes with the standard cherry, whipped cream, hot fudge, and waffle cup.

The Gibson Girl is a Disneyland favorite, so get your dessert on here.",4,1421619744406,107585042930432795074,0x80dcd7d695555555:0xff6cd1b4345ce8c1,"['Dessert shop', 'American restaurant', 'Ice cream shop']",Disneyland’s ice cream parlor & sweet shop with an elaborate old-timey Americana theme.,4.6,208,Advertisement
What can I say it's nice intersection Golden State and East Main or West Main but you know it was really good about it tonight there was food being served in the park yes they were vendors with homemade tamales and all kinds of good good stuff should try it I'm not exactly sure if it's a weekly thing but I hope so,5,1503029053277,102225589617014661225,0x8091064a45f1072f:0x9acdce0338679bc4,['Gastropub'],"Comfort eats, California fair & a host of craft beers share the menu at this easygoing tavern.",4.1,398,Irrelevant Content
"Small, so so",3,1536017229314,112006696202015121713,0x80c2bb0e29267c3b:0xae3f310850296f9e,"['Party store', 'Banner store', 'Candy store', 'Costume store', 'Invitation printing service']","Retail chain stocking a wide range of themed party supplies, plus costumes & holiday decorations.",4.1,104,Irrelevant Content
"Went 1st time today, very professional, friendly and nice. I would recommend this place. Did a quick and nice installation.",5,1591513107443,105412090121192712293,0x80c2d6403d43cc63:0xeed92a10840cb8c,"['Car stereo store', 'Car alarm supplier', 'Window tinting service']",,4.7,78,No Violation
Love everything about it,5,1553459547753,100707802752118325136,0x80dcde843d0aa2c9:0x5308b2f10252687e,"['Bakery', 'Sandwich shop']","Famed for sourdough since 1849, this California bakery/cafe chain also offers light American bites.",4.4,458,No Violation
Good vibe!,5,1545203889361,115997959078258388579,0x80dce7e4c0c51fb5:0x9379665adbda0113,"['Mexican restaurant', 'Restaurant']",,4.3,1008,No Violation
"BCD in Koreatown.
Pork kalbi and kimchi stew. Bomb.",4,1612875924927,104142294916346324080,0x80c2b9a70141d581:0x552c13010cbfb179,['Shopping mall'],,4.2,148,Advertisement
Always a fun night of stock car racing never the same twice.,4,1530423323181,111260778735670360419,0x80dbe719464c01d3:0xe9cd1da3532616b2,['Off-road race track'],,4.7,237,Irrelevant Content
Every item on the menu is amazing!,5,1529732290055,107195329343644065850,0x80c2c0db1d5f27bd:0x67d409b2d8b85ebb,"['Mediterranean restaurant', 'Restaurant']",Unfussy counter-serve joint known for falafel & other Mediterranean eats offered in compact digs.,4.7,455,Advertisement
Exelent,5,1469366760863,116799782446202474542,0x80dbd00d1a61e26b:0xb404574eba4b41e,"['Dollar store', 'Discount store', 'Discount supermarket', 'Grocery store', 'Kitchen supply store', 'Outlet store', 'Party store', 'Produce market', 'School supply store', 'Variety store']",Chain discount retailer offering brand-name groceries & household items for bargain prices.,4.4,148,No Violation
Awesome subs!,4,1490109780162,115613317871778239925,0x80ea42fd570a33c1:0xe4c361cfa1aafbda,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Takeout Restaurant']",New Jersey-based counter-serve sandwich chain serving jumbo subs filled with cold cuts & toppings.,4.4,288,No Violation
Lots of restaurants and shops.,4,1501262268622,103873961130980887127,0x80dcd9cedc6d5505:0x970355ede45fa727,['Shopping mall'],"Spacious shopping center featuring department stores, a 24/7 gym, a movie theater & a bowling alley.",4.4,8156,Irrelevant Content
Booked by my daughter. Very nice but too luxurious and expensive for me.,4,1536761472406,111066821954491027746,0x808fccbb23631527:0xfad2b62f7007863d,"['Hotel', 'Restaurant']","Sophisticated lodging with 3 restaurants & meeting space, plus a spa & an outdoor pool.",4.4,4738,No Violation
